ID,SALE ID,Sent date,Delivered date,Shipping class,Phone,Customer,Type,Country,City,State,Zip code,Location,ITEM ID,Department,I,Description,Cost,Quantity
7071,CA-2016-164490,9/5/2016,9/10/2016,Second Class,2977579421,Stephanie Ulpright,Home Office,United States,Chicago,Illinois,60653,Central,OFF-PA-10004971,Office Supplies,Paper,Xerox 196,9.248,2
7072,CA-2016-112256,7/23/2016,7/28/2016,Standard Class,1686646716,Chloris Kastensmidt,Consumer,United States,Mcallen,Texas,78501,Central,OFF-AR-10001216,Office Supplies,Art,Newell 339,4.448,2
7073,CA-2016-112256,7/23/2016,7/28/2016,Standard Class,4462619521,Chloris Kastensmidt,Consumer,United States,Mcallen,Texas,78501,Central,OFF-PA-10004355,Office Supplies,Paper,Xerox 231,5.184,1
7074,CA-2016-112256,7/23/2016,7/28/2016,Standard Class,8129021974,Chloris Kastensmidt,Consumer,United States,Mcallen,Texas,78501,Central,OFF-AR-10001953,Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,175.92,5
7075,CA-2016-112256,7/23/2016,7/28/2016,Standard Class,9884550196,Chloris Kastensmidt,Consumer,United States,Mcallen,Texas,78501,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,4.752,4
7076,CA-2016-112256,7/23/2016,7/28/2016,Standard Class,5489027962,Chloris Kastensmidt,Consumer,United States,Mcallen,Texas,78501,Central,OFF-SU-10001165,Office Supplies,Supplies,Acme Elite Stainless Steel Scissors,13.344,2
7077,CA-2016-167416,5/12/2016,5/17/2016,Standard Class,3312698440,Jill Matthias,Consumer,United States,Seattle,Washington,98105,West,OFF-EN-10001141,Office Supplies,Envelopes,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",54.9,5
7078,CA-2016-106950,9/2/2016,9/6/2016,Standard Class,6878087646,Joe Elijah,Consumer,United States,Charlotte,North Carolina,28205,South,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,22.911,7
7079,CA-2016-106950,9/2/2016,9/6/2016,Standard Class,5423493076,Joe Elijah,Consumer,United States,Charlotte,North Carolina,28205,South,OFF-AP-10000159,Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,309.456,9
7080,CA-2016-106950,9/2/2016,9/6/2016,Standard Class,1637838132,Joe Elijah,Consumer,United States,Charlotte,North Carolina,28205,South,OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.456,4
7081,CA-2016-106950,9/2/2016,9/6/2016,Standard Class,8176996384,Joe Elijah,Consumer,United States,Charlotte,North Carolina,28205,South,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,472.518,3
